role,category,tc_low_canonical_usd,tc_high_canonical_usd,tc_low_glassdoor_simulated_usd,tc_high_glassdoor_simulated_usd,base_low_glassdoor_simulated_usd,base_high_glassdoor_simulated_usd,sample_size_simulated,levels_fyi_anchor_role,levels_fyi_anchor_median_usd
Chief AI Officer,Engineering Leadership,300000,1000000,,,,,,,
Staff Engineer / Tech Lead,Engineering Leadership,250000,700000,250000,700000,200000,360000,1840,,
VP of AI / ML,Engineering Leadership,280000,900000,,,,,,,
Staff Security Engineer,Security,200000,500000,,,,,,,
Senior LLM Engineer,Data & AI,200000,600000,,,,,,,
Security Engineer,Security,130000,350000,130000,350000,150000,250000,2210,,
Senior Security Engineer,Security,160000,400000,,,,,,,
CTO,Engineering Leadership,300000,1000000,,,,,,,
Principal Engineer,Engineering Leadership,250000,650000,,,,,,,
Senior Principal Engineer,Engineering Leadership,280000,750000,,,,,,,
Senior Staff Engineer,Engineering Leadership,280000,750000,,,,,,,
Chief Information Security Officer,Engineering Leadership,220000,700000,,,,,,,
VP of Engineering,Engineering Leadership,250000,800000,,,,,,,
VP of Security,Engineering Leadership,240000,700000,,,,,,,
AI Research Engineer,Data & AI,180000,700000,180000,700000,200000,420000,540,,
AI Safety / Alignment Researcher,Data & AI,180000,700000,,,,,,,
Foundation Model Engineer,Data & AI,250000,900000,,,,,,,
LLM Research Scientist,Data & AI,220000,800000,,,,,,,
Senior AI Research Engineer,Data & AI,220000,800000,,,,,,,
Staff ML Engineer,Data & AI,230000,600000,,,,,,,
CUDA Engineer,Engineering,180000,500000,,,,,,,
Chief Architect,Engineering Leadership,280000,800000,,,,,,,
VP of Infrastructure,Engineering Leadership,230000,700000,,,,,,,
VP of Platform,Engineering Leadership,230000,700000,,,,,,,
AI Infrastructure Engineer,Data & AI,170000,450000,,,,,,,
LLM Engineer,Data & AI,160000,500000,,,,,,,
ML Engineer,Data & AI,140000,400000,140000,400000,170000,300000,2100,ML Engineer,264000
