role,month,postings_count,data_kind,calibrated_to
Staff Engineer / Tech Lead,2026-01,2050,simulated,Indeed has lower senior-IC posting density than LinkedIn
Engineering Manager,2026-01,3120,simulated,
Security Engineer,2026-01,4860,simulated,
Application Security Engineer,2026-01,1820,simulated,
Cloud Security Engineer,2026-01,1740,simulated,
Offensive Security / Red Team,2026-01,310,simulated,
AI Research Engineer,2026-01,640,simulated,
ML Engineer,2026-01,6300,simulated,
MLOps Engineer,2026-01,1680,simulated,
Data Engineer,2026-01,5400,simulated,
AI Application Engineer,2026-01,3210,simulated,
Data Scientist,2026-01,2100,simulated,
Analytics Engineer,2026-01,920,simulated,
Data Analyst,2026-01,4350,simulated,Larger non-tech-co share than LinkedIn
Platform Engineer,2026-01,2980,simulated,
Site Reliability Engineer,2026-01,2640,simulated,
DevOps Engineer,2026-01,4490,simulated,
Cloud Engineer,2026-01,3760,simulated,
Systems / Low-level Engineer,2026-01,780,simulated,
Embedded Engineer,2026-01,1280,simulated,
Backend Engineer,2026-01,9050,simulated,
Frontend Engineer,2026-01,4820,simulated,Per Indeed share-of-postings data, frontend dropped most
Full-Stack Engineer,2026-01,6500,simulated,
iOS Engineer,2026-01,1610,simulated,
Android Engineer,2026-01,1450,simulated,
SDET / Test Infrastructure,2026-01,1090,simulated,
QA Automation,2026-01,1810,simulated,
QA Manual,2026-01,1080,simulated,
Technical Product Manager,2026-01,1880,simulated,
Product Manager,2026-01,5020,simulated,
UX Designer / Researcher,2026-01,1640,simulated,
Product Designer,2026-01,2110,simulated,
UI Designer,2026-01,920,simulated,
Solutions Architect,2026-01,2110,simulated,
Developer Experience Engineer,2026-01,810,simulated,
Prompt Engineer,2026-01,84,simulated,Indeed search vol 20-30/million; effectively gone
