role,month,source,postings_count,data_kind
AI Application Engineer,2024-01,linkedin,1100,simulated
AI Application Engineer,2024-07,linkedin,1850,simulated
AI Application Engineer,2025-01,linkedin,3200,simulated
AI Application Engineer,2025-07,linkedin,4600,simulated
AI Application Engineer,2026-01,indeed,3210,simulated
AI Application Engineer,2026-01,linkedin,5800,simulated
AI Research Engineer,2024-01,linkedin,820,simulated
AI Research Engineer,2024-07,linkedin,900,simulated
AI Research Engineer,2025-01,linkedin,1010,simulated
AI Research Engineer,2025-07,linkedin,1180,simulated
AI Research Engineer,2026-01,indeed,640,simulated
AI Research Engineer,2026-01,linkedin,1340,simulated
Analytics Engineer,2024-01,linkedin,1900,simulated
Analytics Engineer,2024-07,linkedin,1880,simulated
Analytics Engineer,2025-01,linkedin,1830,simulated
Analytics Engineer,2025-07,linkedin,1770,simulated
Analytics Engineer,2026-01,indeed,920,simulated
Analytics Engineer,2026-01,linkedin,1700,simulated
Android Engineer,2024-01,linkedin,2900,simulated
Android Engineer,2024-07,linkedin,2870,simulated
Android Engineer,2025-01,linkedin,2830,simulated
Android Engineer,2025-07,linkedin,2790,simulated
Android Engineer,2026-01,indeed,1450,simulated
Android Engineer,2026-01,linkedin,2740,simulated
Application Security Engineer,2024-01,linkedin,2200,simulated
Application Security Engineer,2024-07,linkedin,2410,simulated
Application Security Engineer,2025-01,linkedin,2680,simulated
Application Security Engineer,2025-07,linkedin,3060,simulated
Application Security Engineer,2026-01,indeed,1820,simulated
Application Security Engineer,2026-01,linkedin,3440,simulated
Backend Engineer,2024-01,linkedin,18500,simulated
Backend Engineer,2024-07,linkedin,18200,simulated
Backend Engineer,2025-01,linkedin,17800,simulated
Backend Engineer,2025-07,linkedin,17500,simulated
Backend Engineer,2026-01,indeed,9050,simulated
Backend Engineer,2026-01,linkedin,17200,simulated
Cloud Engineer,2024-01,linkedin,7600,simulated
Cloud Engineer,2024-07,linkedin,7480,simulated
Cloud Engineer,2025-01,linkedin,7320,simulated
Cloud Engineer,2025-07,linkedin,7150,simulated
Cloud Engineer,2026-01,indeed,3760,simulated
Cloud Engineer,2026-01,linkedin,7000,simulated
Cloud Security Engineer,2024-01,linkedin,1900,simulated
Cloud Security Engineer,2024-07,linkedin,2150,simulated
Cloud Security Engineer,2025-01,linkedin,2480,simulated
Cloud Security Engineer,2025-07,linkedin,2820,simulated
Cloud Security Engineer,2026-01,indeed,1740,simulated
Cloud Security Engineer,2026-01,linkedin,3220,simulated
Data Analyst,2024-01,linkedin,11500,simulated
Data Analyst,2024-07,linkedin,10800,simulated
Data Analyst,2025-01,linkedin,9900,simulated
