rank,role,category,score,tier,demand_trend
1,Chief AI Officer,Engineering Leadership,94,fortress,rising
1,Staff Engineer / Tech Lead,Engineering Leadership,94,fortress,rising
1,VP of AI / ML,Engineering Leadership,94,fortress,rising
1,Staff Security Engineer,Security,94,fortress,rising
5,Senior LLM Engineer,Data & AI,92,fortress,rising
5,Security Engineer,Security,92,fortress,rising
5,Senior Security Engineer,Security,92,fortress,rising
8,CTO,Engineering Leadership,91,fortress,stable
8,Principal Engineer,Engineering Leadership,91,fortress,rising
8,Senior Principal Engineer,Engineering Leadership,91,fortress,stable
8,Senior Staff Engineer,Engineering Leadership,91,fortress,rising
12,Chief Information Security Officer,Engineering Leadership,90,fortress,rising
12,VP of Engineering,Engineering Leadership,90,fortress,stable
12,VP of Security,Engineering Leadership,90,fortress,rising
15,AI Research Engineer,Data & AI,89,fortress,rising
15,AI Safety / Alignment Researcher,Data & AI,89,fortress,rising
15,Foundation Model Engineer,Data & AI,89,fortress,rising
15,LLM Research Scientist,Data & AI,89,fortress,rising
15,Senior AI Research Engineer,Data & AI,89,fortress,rising
15,Staff ML Engineer,Data & AI,89,fortress,rising
15,CUDA Engineer,Engineering,89,fortress,rising
22,Chief Architect,Engineering Leadership,88,fortress,stable
22,VP of Infrastructure,Engineering Leadership,88,fortress,stable
22,VP of Platform,Engineering Leadership,88,fortress,stable
25,AI Infrastructure Engineer,Data & AI,87,fortress,rising
25,LLM Engineer,Data & AI,87,fortress,rising
25,ML Engineer,Data & AI,87,fortress,rising
25,MLOps Engineer,Data & AI,87,fortress,rising
25,Senior ML Engineer,Data & AI,87,fortress,rising
25,SVP of Engineering,Engineering Leadership,87,fortress,stable
25,Platform Engineer,Platform & Infrastructure,87,fortress,rising
25,AI / ML Security Engineer,Security,87,fortress,rising
25,AI Red Team Engineer,Security,87,fortress,rising
25,Application Security Engineer,Security,87,fortress,rising
25,Cloud Security Engineer,Security,87,fortress,rising
25,Security Architect,Security,87,fortress,rising
25,Senior Application Security Engineer,Security,87,fortress,rising
25,Senior Cloud Security Engineer,Security,87,fortress,rising
39,ML Research Engineer,Data & AI,86,fortress,rising
39,Pretraining Engineer,Data & AI,86,fortress,rising
39,Principal ML Engineer,Data & AI,86,fortress,rising
39,Autonomous Vehicle Software Engineer,Engineering,86,fortress,rising
39,Distributed Systems Engineer,Engineering,86,fortress,rising
39,GPU Engineer,Engineering,86,fortress,rising
39,Self-Driving Perception Engineer,Engineering,86,fortress,rising
39,Self-Driving Planning Engineer,Engineering,86,fortress,rising
39,Triton (GPU) Kernel Engineer,Engineering,86,fortress,rising
39,Director of AI / ML,Engineering Leadership,86,fortress,rising
39,VP of Product Engineering,Engineering Leadership,86,fortress,stable
39,Staff Platform Engineer,Platform & Infrastructure,86,fortress,rising
39,Staff SRE,Platform & Infrastructure,86,fortress,stable
52,AI Forward Deployed Engineer,Data & AI,85,fortress,rising
52,Senior AI Agent Engineer,Data & AI,85,fortress,rising
52,Distinguished Engineer,Engineering Leadership,85,fortress,stable
52,VP of Product,Engineering Leadership,85,fortress,stable
56,Multimodal AI Engineer,Data & AI,84,fortress,rising
56,Quantitative Developer,Data & AI,84,fortress,stable
56,Red-team AI Engineer (Model Safety),Data & AI,84,fortress,rising
56,Senior MLOps Engineer,Data & AI,84,fortress,rising
56,Chief Data Officer (CDO),Engineering Leadership,84,fortress,stable
56,Director of Engineering,Engineering Leadership,84,fortress,stable
56,Group Engineering Manager,Engineering Leadership,84,fortress,stable
56,Senior Engineering Manager,Engineering Leadership,84,fortress,stable
56,VP of Data,Engineering Leadership,84,fortress,stable
56,Internal Developer Platform (IDP) Engineer,Platform & Infrastructure,84,fortress,rising
56,Senior Platform Engineer,Platform & Infrastructure,84,fortress,rising
56,Senior SRE,Platform & Infrastructure,84,fortress,stable
56,Site Reliability Engineer,Platform & Infrastructure,84,fortress,stable
56,Cloud Security Architect,Security,84,fortress,rising
56,Offensive Security / Red Team,Security,84,fortress,stable
56,Product Security Engineer,Security,84,fortress,rising
56,Senior Forward Deployed Engineer,Specialized & Emerging,84,fortress,rising
56,Senior TPM,Specialized & Emerging,84,fortress,stable
74,AI Agent Engineer,Data & AI,83,fortress,rising
74,Principal Data Engineer,Data & AI,83,fortress,stable
74,Principal Backend Engineer,Engineering,83,fortress,stable
74,Engineering Manager,Engineering Leadership,83,fortress,stable
74,Senior Technical PM,Product & Design,83,fortress,stable
74,Technical Program Manager,Specialized & Emerging,83,fortress,stable
80,AI Evaluations Engineer,Data & AI,82,safe,rising
80,AI Product Manager,Data & AI,82,safe,rising
80,Data Engineer,Data & AI,82,safe,rising
80,ML Infrastructure Engineer,Data & AI,82,safe,rising
80,Senior Computer Vision Engineer,Data & AI,82,safe,stable
80,Rust Backend Engineer,Engineering,82,safe,rising
80,Chief Product Officer,Engineering Leadership,82,safe,stable
80,Fellow Engineer,Engineering Leadership,82,safe,stable
80,Tech Lead Manager,Engineering Leadership,82,safe,stable
80,Kubernetes / Container Platform Engineer,Platform & Infrastructure,82,safe,rising
80,Senior Kubernetes Engineer,Platform & Infrastructure,82,safe,rising
80,Senior IR Engineer,Security,82,safe,rising
92,AI Interpretability Researcher,Data & AI,81,safe,rising
92,Algorithmic Trading Engineer,Data & AI,81,safe,stable
92,Computer Vision Researcher,Data & AI,81,safe,rising
92,Drug Discovery ML Engineer,Data & AI,81,safe,rising
92,HFT Engineer (High-Frequency Trading),Data & AI,81,safe,stable
92,Quantitative Researcher,Data & AI,81,safe,stable
92,Research Scientist,Data & AI,81,safe,rising
92,Staff Data Engineer,Data & AI,81,safe,rising
92,Vision-Language Model Engineer,Data & AI,81,safe,rising
92,AI Accelerator Hardware Engineer,Engineering,81,safe,rising
92,ASIC Design Engineer,Engineering,81,safe,rising
92,Aerospace Embedded Engineer,Engineering,81,safe,stable
92,C++ Backend / Server Engineer,Engineering,81,safe,stable
92,Chip Design Engineer,Engineering,81,safe,rising
92,Defense Embedded Engineer,Engineering,81,safe,stable
92,Path Planning Engineer,Engineering,81,safe,stable
92,SLAM Engineer,Engineering,81,safe,stable
92,Self-Driving Controls Engineer,Engineering,81,safe,rising
92,Senior Systems Engineer,Engineering,81,safe,stable
92,Software Architect,Engineering,81,safe,stable
92,Staff Backend Engineer,Engineering,81,safe,stable
92,Systems / Low-level Engineer,Engineering,81,safe,stable
92,Director of Data,Engineering Leadership,81,safe,stable
92,Director of Infrastructure,Engineering Leadership,81,safe,stable
92,Director of Platform,Engineering Leadership,81,safe,stable
92,Director of Security,Engineering Leadership,81,safe,rising
92,Head of DevOps / SRE,Engineering Leadership,81,safe,stable
92,Head of Engineering,Engineering Leadership,81,safe,stable
92,Senior Director of Engineering,Engineering Leadership,81,safe,stable
92,Principal Product Manager,Product & Design,81,safe,stable
92,Application Security Architect,Security,81,safe,rising
92,Cryptography Engineer,Security,81,safe,stable
92,Security Researcher,Security,81,safe,stable
92,Vulnerability Researcher,Security,81,safe,stable
92,Principal TPM,Specialized & Emerging,81,safe,stable
