role,category,demand,automation_resistance,skill_depth,strategic_importance,score,salary_low_usd,salary_high_usd,demand_trend,verdict_tier
Chief AI Officer,Engineering Leadership,8,10,10,10,94,300000,1000000,rising,fortress
Staff Engineer / Tech Lead,Engineering Leadership,9,9,10,10,94,250000,700000,rising,fortress
VP of AI / ML,Engineering Leadership,8,10,10,10,94,280000,900000,rising,fortress
Staff Security Engineer,Security,8,10,10,10,94,200000,500000,rising,fortress
Senior LLM Engineer,Data & AI,9,9,10,9,92,200000,600000,rising,fortress
Security Engineer,Security,9,9,9,10,92,130000,350000,rising,fortress
Senior Security Engineer,Security,9,9,9,10,92,160000,400000,rising,fortress
CTO,Engineering Leadership,7,10,10,10,91,300000,1000000,stable,fortress
Principal Engineer,Engineering Leadership,8,9,10,10,91,250000,650000,rising,fortress
Senior Principal Engineer,Engineering Leadership,7,10,10,10,91,280000,750000,stable,fortress
Senior Staff Engineer,Engineering Leadership,8,9,10,10,91,280000,750000,rising,fortress
Chief Information Security Officer,Engineering Leadership,7,10,9,10,90,220000,700000,rising,fortress
VP of Engineering,Engineering Leadership,7,10,9,10,90,250000,800000,stable,fortress
VP of Security,Engineering Leadership,7,10,9,10,90,240000,700000,rising,fortress
AI Research Engineer,Data & AI,8,9,10,9,89,180000,700000,rising,fortress
AI Safety / Alignment Researcher,Data & AI,7,10,10,9,89,180000,700000,rising,fortress
Foundation Model Engineer,Data & AI,7,10,10,9,89,250000,900000,rising,fortress
LLM Research Scientist,Data & AI,7,10,10,9,89,220000,800000,rising,fortress
Senior AI Research Engineer,Data & AI,7,10,10,9,89,220000,800000,rising,fortress
Staff ML Engineer,Data & AI,8,9,10,9,89,230000,600000,rising,fortress
CUDA Engineer,Engineering,7,10,10,9,89,180000,500000,rising,fortress
Chief Architect,Engineering Leadership,6,10,10,10,88,280000,800000,stable,fortress
VP of Infrastructure,Engineering Leadership,7,10,9,9,88,230000,700000,stable,fortress
VP of Platform,Engineering Leadership,7,10,9,9,88,230000,700000,stable,fortress
AI Infrastructure Engineer,Data & AI,8,9,9,9,87,170000,450000,rising,fortress
LLM Engineer,Data & AI,9,8,9,9,87,160000,500000,rising,fortress
ML Engineer,Data & AI,9,8,9,9,87,140000,400000,rising,fortress
MLOps Engineer,Data & AI,9,8,9,9,87,130000,340000,rising,fortress
Senior ML Engineer,Data & AI,9,8,9,9,87,180000,450000,rising,fortress
SVP of Engineering,Engineering Leadership,6,10,9,10,87,280000,900000,stable,fortress
Platform Engineer,Platform & Infrastructure,9,8,9,9,87,130000,360000,rising,fortress
AI / ML Security Engineer,Security,7,10,10,8,87,150000,400000,rising,fortress
AI Red Team Engineer,Security,7,10,10,8,87,150000,400000,rising,fortress
Application Security Engineer,Security,9,8,9,9,87,130000,360000,rising,fortress
Cloud Security Engineer,Security,9,8,9,9,87,130000,340000,rising,fortress
Security Architect,Security,8,9,9,9,87,150000,400000,rising,fortress
Senior Application Security Engineer,Security,8,9,9,9,87,160000,400000,rising,fortress
Senior Cloud Security Engineer,Security,8,9,9,9,87,160000,400000,rising,fortress
ML Research Engineer,Data & AI,7,9,10,9,86,180000,600000,rising,fortress
Pretraining Engineer,Data & AI,6,10,10,9,86,220000,800000,rising,fortress
Principal ML Engineer,Data & AI,7,9,10,9,86,280000,700000,rising,fortress
Autonomous Vehicle Software Engineer,Engineering,6,10,10,9,86,160000,450000,rising,fortress
Distributed Systems Engineer,Engineering,7,9,10,9,86,160000,480000,rising,fortress
GPU Engineer,Engineering,6,10,10,9,86,180000,500000,rising,fortress
Self-Driving Perception Engineer,Engineering,6,10,10,9,86,170000,480000,rising,fortress
Self-Driving Planning Engineer,Engineering,6,10,10,9,86,170000,480000,rising,fortress
Triton (GPU) Kernel Engineer,Engineering,6,10,10,9,86,180000,500000,rising,fortress
Director of AI / ML,Engineering Leadership,7,9,10,9,86,220000,600000,rising,fortress
VP of Product Engineering,Engineering Leadership,7,9,9,10,86,230000,700000,stable,fortress
Staff Platform Engineer,Platform & Infrastructure,7,9,10,9,86,200000,500000,rising,fortress
Staff SRE,Platform & Infrastructure,7,9,10,9,86,200000,500000,stable,fortress
AI Forward Deployed Engineer,Data & AI,9,8,8,9,85,160000,450000,rising,fortress
Senior AI Agent Engineer,Data & AI,9,8,9,8,85,180000,480000,rising,fortress
Distinguished Engineer,Engineering Leadership,5,10,10,10,85,300000,1000000,stable,fortress
VP of Product,Engineering Leadership,7,9,8,10,85,230000,650000,stable,fortress
Multimodal AI Engineer,Data & AI,7,9,10,8,84,160000,450000,rising,fortress
Quantitative Developer,Data & AI,7,9,10,8,84,150000,600000,stable,fortress
Red-team AI Engineer (Model Safety),Data & AI,6,10,10,8,84,160000,450000,rising,fortress
Senior MLOps Engineer,Data & AI,8,8,9,9,84,160000,400000,rising,fortress
Chief Data Officer (CDO),Engineering Leadership,7,9,9,9,84,250000,700000,stable,fortress
Director of Engineering,Engineering Leadership,7,9,9,9,84,200000,500000,stable,fortress
Group Engineering Manager,Engineering Leadership,7,9,9,9,84,200000,450000,stable,fortress
Senior Engineering Manager,Engineering Leadership,7,9,9,9,84,180000,450000,stable,fortress
VP of Data,Engineering Leadership,7,9,9,9,84,230000,650000,stable,fortress
Internal Developer Platform (IDP) Engineer,Platform & Infrastructure,7,9,9,9,84,150000,380000,rising,fortress
Senior Platform Engineer,Platform & Infrastructure,8,8,9,9,84,160000,400000,rising,fortress
Senior SRE,Platform & Infrastructure,8,8,9,9,84,160000,400000,stable,fortress
Site Reliability Engineer,Platform & Infrastructure,8,8,9,9,84,130000,350000,stable,fortress
Cloud Security Architect,Security,7,9,9,9,84,160000,400000,rising,fortress
Offensive Security / Red Team,Security,7,9,10,8,84,120000,330000,stable,fortress
Product Security Engineer,Security,7,9,9,9,84,140000,360000,rising,fortress
Senior Forward Deployed Engineer,Specialized & Emerging,7,9,9,9,84,180000,480000,rising,fortress
Senior TPM,Specialized & Emerging,7,9,9,9,84,180000,450000,stable,fortress
AI Agent Engineer,Data & AI,10,7,8,8,83,150000,400000,rising,fortress
Principal Data Engineer,Data & AI,6,9,10,9,83,220000,550000,stable,fortress
